Name,Market,Price,CategoryName,ImageUrl,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Otantik 1 kg Irişgirik Acılı Kayseri Sucuk,PttAVM,"1.190,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/otantik-1-kg-irisgirik-acili-kayseri-sucuk-_1906534.jpg,432,16,2,40
Gurmepark 250 gr Hindi Füme Göğüs Eti,PttAVM,"343,61 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gurmepark-250-gr-hindi-fume-gogus-eti-_286840.jpg,107,25,0,1
Zencefil Organik 40 mt Yerli Sucuk Bağırsağı,PttAVM,"2.072,61 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/zencefil-organik-40-mt-yerli-sucuk-bagirsagi-_1177021.jpg,80,1.8,18.0,0.8
İkbal 500 gr Afyon Kangal Sucuk,idefix,"700,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/ikbal-500-gr-afyon-kangal-sucuk-_909141.jpg,380,14,2,35
Pınar 3x255 gr Kasap Dana Cabanossi Sosis,PınarOnline,"1.016,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-3x255-gr-kasap-dana-cabanossi-sosis-_1832669.jpg,250,26,0,20
Doruk 500 gr Dana Sucuk,PttAVM,"491,97 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/doruk-500-gr-dana-sucuk-_1966295.jpg,432,16,2,40
Fümeci 1 kg Baton Sucuk,Carrefoursa,"1.439,92 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/fumeci-1-kg-baton-sucuk-_2004425.jpg,399,14,7,35
Pınar 10x295 gr Hotdog Dana Sosis,PınarOnline,"2.242,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-10x295-gr-hotdog-dana-sosis-_2059781.jpg,250,26,0,20
Pınar 240 gr Fish Finger,PınarOnline,"183,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-240-gr-fish-finger-_403854.jpg,185,14,13,8
Gazivet 4'lü Bıldırcın Eti,Carrefoursa,"269,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/gazivet-4lu-bildircin-eti-_979746.jpg,134,22,0,5
Pınar 90 gr Kasap Dana Dil Füme,PınarOnline,"199,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-90-gr-kasap-dana-dil-fume-_1312930.jpg,250,26,0,20
Dardanel Light 2x140 gr Ton Balığı,Amazon,"275,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/dardanel-light-2x140-gr-ton-baligi-_1345908.jpg,193,24,0,11
Balık Dünyası 500 gr Dondurulmuş Norveç Balığı,a101,"25,95 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/balik-dunyasi-500-gr-dondurulmus-norvec-baligi-_1433081.jpg,,,,
İmamoğlu 1 kg Doğal Evlik Parmak Sucuk,PttAVM,"1.440,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/imamoglu-1-kg-dogal-evlik-parmak-sucuk-_503610.jpg,389,16,1.5,40
Pınar 255 gr Kasap Dana Bratwurst Sosis,PınarOnline,"187,85 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-255-gr-kasap-dana-bratwurst-sosis-_1317585.jpg,250,26,0,20
Zencefil Organik 5 mt Yerli Sucuk Bağırsağı,PttAVM,"396,81 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/zencefil-organik-5-mt-yerli-sucuk-bagirsagi-_1177025.jpg,80,1.8,18.0,0.8
